# Output type: file-level
# Input files: 0119,0121,0125
# Num files: 7
# Num directories: 14
# Num physical files: 3
F,0,076_281474976710692,2,1,0,20480,
F,5,078_281474976710693,9,1,1,129,
F,4,078_281474976710695,8,1,2,20480,
F,2,076_281474976710695,4,1,1,129,
F,1,076_281474976710697,3,1,1,129,
F,3,076_10696049115004971,5,1,1,129,
F,6,07c_562949953421349,13,1,1,129,
P,2,078_281474976710695,1,4,
P,1,076_281474976710697,5,1,2,3,5,6,
P,0,076_281474976710692,1,0,
D,2,076_281474976710691,0,0,1,0,
D,9,078_281474976710692,7,0,1,5,
D,4,076_281474976710694,1,0,1,2,
D,12,07c_1688849860263974,10,0,0,
D,1,076_13229323905400869,0,3,0,5,4,3,
R,0,076_root,0,3,0,2,1,0,
R,10,07c_root,10,3,0,12,11,10,
R,6,078_root,6,3,0,8,7,6,
D,11,07c_1125899906842659,10,1,0,13,
D,8,078_6473924464345126,6,0,1,4,
D,7,078_562949953421347,6,1,0,9,
D,13,07c_562949953421348,11,0,1,6,
D,3,076_562949953421352,1,0,1,1,
D,5,076_142144863238881322,1,0,1,3,
